# index x y z
424 0.944652 0.426459 0.975232
425 0.945838 0.426279 0.972606
426 0.94842 0.426054 0.971418
427 0.9482 0.425918 0.967364
428 0.947972 0.425783 0.96332
429 0.948439 0.425627 0.959996
430 0.948901 0.42547 0.956678
431 0.950064 0.425292 0.954075
432 0.953349 0.425045 0.9536
433 0.95735 0.424774 0.953827
434 0.960647 0.424526 0.95334
435 0.964663 0.424254 0.953552
436 0.968687 0.42398 0.953755
437 0.971289 0.423754 0.952547
438 0.97676 0.423431 0.954136
439 1.0932 0.416811 0.994501
440 1.09079 0.416751 0.988387
441 1.09283 0.416531 0.986321
442 1.09561 0.416284 0.984926
443 1.10289 0.415874 0.987542
444 1.10419 0.415681 0.984797
445 1.11374 0.415186 0.989384
446 0.927553 0.425749 0.99648
447 0.933548 0.425412 0.998963
448 0.937502 0.42514 0.999237
449 0.94009 0.424913 0.998043
450 0.941992 0.424708 0.996118
451 0.942514 0.42455 0.992739
452 0.943721 0.424369 0.990091
453 0.943541 0.424234 0.985998
454 0.942658 0.424125 0.981192
455 0.941069 0.42404 0.975675
456 0.942253 0.423861 0.973051
457 0.944133 0.423659 0.971149
458 0.946712 0.423432 0.969963
459 0.947191 0.423279 0.966628
460 0.947664 0.423125 0.963298
461 0.948132 0.422973 0.959975
462 0.9493 0.422796 0.957368
463 0.949758 0.422644 0.954054
464 0.953751 0.422368 0.954288
465 0.957752 0.422091 0.954513
466 0.96034 0.421864 0.953319
467 0.964355 0.421586 0.953531
468 0.968378 0.421307 0.953734
469 0.970265 0.421104 0.951824
470 0.972868 0.420875 0.950615
471 1.08433 0.414517 0.994562
472 1.07971 0.414553 0.986411
473 1.08322 0.414278 0.985707
474 1.08525 0.414059 0.983651
475 1.08505 0.413927 0.979579
476 1.08857 0.413651 0.978869
477 1.0906 0.413433 0.976814
478 1.09113 0.413273 0.973424
479 1.09466 0.412996 0.972705
480 1.09969 0.412659 0.973309
481 0.929816 0.422846 0.99528
482 0.935134 0.42252 0.997023
483 0.938404 0.422267 0.996562
484 0.940992 0.422038 0.995368
485 0.941513 0.421883 0.991991
486 0.942028 0.421729 0.988619
487 0.941846 0.421601 0.984529
488 0.940267 0.421525 0.979003
489 0.938674 0.421451 0.973491
490 0.939855 0.421274 0.970871
491 0.94173 0.421073 0.968973
492 0.945005 0.420819 0.968508
493 0.946182 0.420643 0.965891
494 0.948762 0.420415 0.964705
495 0.949936 0.420239 0.962092
496 0.950403 0.42009 0.958769
497 0.951571 0.419916 0.956162
498 0.955567 0.419633 0.956392
499 0.958154 0.419404 0.955199
500 0.960743 0.419175 0.954004
501 0.963334 0.418946 0.952805
502 0.966642 0.418688 0.952307
503 0.967812 0.418513 0.949699
504 0.97041 0.418283 0.948493
505 0.980905 0.417744 0.954969
