# index x y z
356 0.850825 1.2767 2.0521
357 0.852705 1.27558 2.04725
358 0.856748 1.27653 2.04758
359 0.8608 1.27748 2.04791
360 0.864859 1.27843 2.04823
361 0.869804 1.28021 2.0506
362 0.873883 1.28115 2.0509
363 0.878852 1.28293 2.05325
364 0.883835 1.2847 2.05559
365 0.847902 1.28228 2.08409
366 0.846835 1.27825 2.07189
367 0.845314 1.27382 2.05867
368 0.847631 1.27311 2.05485
369 0.849945 1.2724 2.05103
370 0.85312 1.27252 2.04929
371 0.857165 1.27346 2.04963
372 0.861219 1.27441 2.04995
373 0.865281 1.27535 2.05027
374 0.869789 1.27671 2.05161
375 0.873869 1.27765 2.0519
376 0.878839 1.27941 2.05425
377 0.88338 1.28077 2.05556
378 0.845522 1.27948 2.08896
379 0.845748 1.2767 2.07988
380 0.845103 1.27311 2.06873
381 0.844865 1.26993 2.05864
382 0.846752 1.26881 2.05378
383 0.849065 1.2681 2.04996
384 0.853966 1.26986 2.05238
385 0.856715 1.26957 2.0496
386 0.862072 1.27174 2.05303
387 0.865266 1.27185 2.05127
388 0.870212 1.27361 2.05364
389 0.874294 1.27455 2.05393
390 0.879265 1.2763 2.05628
391 0.882925 1.27683 2.05552
392 0.844644 1.27513 2.08788
393 0.84487 1.27237 2.0788
394 0.844652 1.2692 2.06869
395 0.843987 1.26562 2.05757
396 0.847161 1.26574 2.05583
397 0.849907 1.26544 2.05305
398 0.853516 1.26597 2.05235
399 0.856698 1.26608 2.0506
400 0.862055 1.26824 2.05403
401 0.86525 1.26835 2.05227
402 0.870633 1.27051 2.05567
403 0.874717 1.27144 2.05596
404 0.87925 1.27278 2.05728
405 0.844613 1.27161 2.08889
406 0.843568 1.26764 2.07668
407 0.843349 1.26448 2.06658
408 0.842683 1.26092 2.05545
409 0.845425 1.26062 2.05268
410 0.848597 1.26074 2.05094
411 0.852634 1.26166 2.05128
412 0.857113 1.263 2.05264
413 0.862472 1.26515 2.05607
414 0.866105 1.26567 2.05534
415 0.870617 1.267 2.05667
416 0.874702 1.26792 2.05696
417 0.879235 1.26925 2.05828
418 0.84289 1.26646 2.08572
419 0.841418 1.26209 2.07247
420 0.842898 1.26058 2.06655
421 0.843942 1.25866 2.05959
422 0.846261 1.25796 2.05577
423 0.848577 1.25726 2.05195
424 0.853478 1.25899 2.05436
425 0.857095 1.2595 2.05365
426 0.861586 1.26083 2.055
427 0.865652 1.26175 2.05531
428 0.870163 1.26307 2.05664
429 0.874686 1.26439 2.05796
430 0.842436 1.26253 2.08569
431 0.841814 1.259 2.07453
432 0.842447 1.25668 2.06651
433 0.841358 1.25274 2.05435
434 0.844098 1.25245 2.05157
435 0.847698 1.25296 2.05088
436 0.852165 1.25428 2.05225
